Time (sec), Heater 1, Heater 2, Temperature 1, Temperature 2
0.000000000000000000e+00,7.020457251197791493e+01,0.000000000000000000e+00,2.108999999999999986e+01,1.971000000000000085e+01
3.002565622329711914e+00,7.020457251197791493e+01,0.000000000000000000e+00,2.105999999999999872e+01,1.973999999999999844e+01
6.051028251647949219e+00,7.020457251197791493e+01,0.000000000000000000e+00,2.100000000000000000e+01,1.973999999999999844e+01
9.053199052810668945e+00,7.020457251197791493e+01,0.000000000000000000e+00,2.116000000000000014e+01,1.973999999999999844e+01
1.205257868766784668e+01,7.020457251197791493e+01,0.000000000000000000e+00,2.119000000000000128e+01,1.973999999999999844e+01
1.506748628616333008e+01,7.020457251197791493e+01,0.000000000000000000e+00,2.157999999999999829e+01,1.973999999999999844e+01
1.806933999061584473e+01,7.020457251197791493e+01,0.000000000000000000e+00,2.187000000000000099e+01,1.973999999999999844e+01
2.106998109817504883e+01,7.020457251197791493e+01,0.000000000000000000e+00,2.235000000000000142e+01,1.973999999999999844e+01
2.407186388969421387e+01,7.020457251197791493e+01,0.000000000000000000e+00,2.280000000000000071e+01,1.973999999999999844e+01
2.707109737396240234e+01,7.020457251197791493e+01,0.000000000000000000e+00,2.335000000000000142e+01,1.982999999999999829e+01
3.007150101661682129e+01,7.020457251197791493e+01,0.000000000000000000e+00,2.385999999999999943e+01,1.973999999999999844e+01
3.308900642395019531e+01,7.020457251197791493e+01,0.000000000000000000e+00,2.451000000000000156e+01,1.976999999999999957e+01
3.609094667434692383e+01,7.020457251197791493e+01,0.000000000000000000e+00,2.505999999999999872e+01,1.964000000000000057e+01
3.909274721145629883e+01,7.020457251197791493e+01,0.000000000000000000e+00,2.569999999999999929e+01,1.987000000000000099e+01
4.209463095664978027e+01,7.020457251197791493e+01,0.000000000000000000e+00,2.612000000000000099e+01,1.987000000000000099e+01
4.509726762771606445e+01,7.020457251197791493e+01,0.000000000000000000e+00,2.682999999999999829e+01,1.989999999999999858e+01
4.809914183616638184e+01,7.020457251197791493e+01,0.000000000000000000e+00,2.733999999999999986e+01,1.996000000000000085e+01
5.109903264045715332e+01,7.020457251197791493e+01,0.000000000000000000e+00,2.789000000000000057e+01,2.000000000000000000e+01
5.410198926925659180e+01,7.020457251197791493e+01,0.000000000000000000e+00,2.850000000000000000e+01,2.003000000000000114e+01
5.710133814811706543e+01,7.020457251197791493e+01,0.000000000000000000e+00,2.905000000000000071e+01,2.005999999999999872e+01
6.010164928436279297e+01,9.682718463001825171e+01,0.000000000000000000e+00,2.960000000000000142e+01,2.021999999999999886e+01
6.310351490974426270e+01,9.682718463001825171e+01,0.000000000000000000e+00,3.023999999999999844e+01,2.000000000000000000e+01
6.610538935661315918e+01,9.682718463001825171e+01,0.000000000000000000e+00,3.089000000000000057e+01,2.012000000000000099e+01
6.910726070404052734e+01,9.682718463001825171e+01,0.000000000000000000e+00,3.144000000000000128e+01,2.035000000000000142e+01
7.210914778709411621e+01,9.682718463001825171e+01,0.000000000000000000e+00,3.198000000000000043e+01,2.025000000000000000e+01
7.511108827590942383e+01,9.682718463001825171e+01,0.000000000000000000e+00,3.275999999999999801e+01,2.032000000000000028e+01
7.811288833618164062e+01,9.682718463001825171e+01,0.000000000000000000e+00,3.334000000000000341e+01,2.042000000000000171e+01
8.111476278305053711e+01,9.682718463001825171e+01,0.000000000000000000e+00,3.410999999999999943e+01,2.051000000000000156e+01
8.411663436889648438e+01,9.682718463001825171e+01,0.000000000000000000e+00,3.485000000000000142e+01,2.067000000000000171e+01
8.711650156974792480e+01,9.682718463001825171e+01,0.000000000000000000e+00,3.553000000000000114e+01,2.071000000000000085e+01
9.011671948432922363e+01,9.682718463001825171e+01,0.000000000000000000e+00,3.624000000000000199e+01,2.073999999999999844e+01
9.311858725547790527e+01,9.682718463001825171e+01,0.000000000000000000e+00,3.692000000000000171e+01,2.076999999999999957e+01
9.611819291114807129e+01,9.682718463001825171e+01,0.000000000000000000e+00,3.761999999999999744e+01,2.096000000000000085e+01
9.912007498741149902e+01,9.682718463001825171e+01,0.000000000000000000e+00,3.824000000000000199e+01,2.089999999999999858e+01
1.021219465732574463e+02,9.682718463001825171e+01,0.000000000000000000e+00,3.903999999999999915e+01,2.103000000000000114e+01
1.051238384246826172e+02,9.682718463001825171e+01,0.000000000000000000e+00,3.964999999999999858e+01,2.125000000000000000e+01
1.081258533000946045e+02,9.682718463001825171e+01,0.000000000000000000e+00,4.027000000000000313e+01,2.128999999999999915e+01
1.111275963783264160e+02,9.682718463001825171e+01,0.000000000000000000e+00,4.088000000000000256e+01,2.137999999999999901e+01
1.141294763088226318e+02,9.682718463001825171e+01,0.000000000000000000e+00,4.159000000000000341e+01,2.151000000000000156e+01
1.171313445568084717e+02,9.682718463001825171e+01,0.000000000000000000e+00,4.217000000000000171e+01,2.153999999999999915e+01
