Time (sec), Heater 1, Heater 2, Temperature 1, Temperature 2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.876999999999999957e+01,1.660999999999999943e+01
2.997731685638427734e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.880000000000000071e+01,1.635000000000000142e+01
5.999590635299682617e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.873999999999999844e+01,1.635000000000000142e+01
9.001463174819946289e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.860999999999999943e+01,1.628999999999999915e+01
1.200331830978393555e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.857999999999999829e+01,1.657999999999999829e+01
1.500518298149108887e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.867000000000000171e+01,1.657999999999999829e+01
1.800703144073486328e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.880000000000000071e+01,1.673999999999999844e+01
2.100890803337097168e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.864000000000000057e+01,1.632000000000000028e+01
2.401075959205627441e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.871000000000000085e+01,1.651999999999999957e+01
2.701259565353393555e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.880000000000000071e+01,1.648000000000000043e+01
3.001445078849792480e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.880000000000000071e+01,1.655000000000000071e+01
3.301415348052978516e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.880000000000000071e+01,1.660999999999999943e+01
3.601588273048400879e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.889999999999999858e+01,1.651999999999999957e+01
3.901773643493652344e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.860999999999999943e+01,1.676999999999999957e+01
4.201960372924804688e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.848000000000000043e+01,1.667999999999999972e+01
4.502146983146667480e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.848000000000000043e+01,1.628999999999999915e+01
4.802331328392028809e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.880000000000000071e+01,1.664000000000000057e+01
5.102518129348754883e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.860999999999999943e+01,1.642000000000000171e+01
5.402917647361755371e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.871000000000000085e+01,1.655000000000000071e+01
5.702838253974914551e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.855000000000000071e+01,1.673999999999999844e+01
6.003024864196777344e+01,4.022475152040760449e+00,0.000000000000000000e+00,1.867000000000000171e+01,1.664000000000000057e+01
6.302941250801086426e+01,4.022475152040760449e+00,0.000000000000000000e+00,1.860999999999999943e+01,1.667999999999999972e+01
6.604691696166992188e+01,4.022475152040760449e+00,0.000000000000000000e+00,1.851000000000000156e+01,1.676999999999999957e+01
6.904877185821533203e+01,4.022475152040760449e+00,0.000000000000000000e+00,1.855000000000000071e+01,1.648000000000000043e+01
7.205064749717712402e+01,4.022475152040760449e+00,0.000000000000000000e+00,1.848000000000000043e+01,1.635000000000000142e+01
7.505249881744384766e+01,4.022475152040760449e+00,0.000000000000000000e+00,1.860999999999999943e+01,1.651999999999999957e+01
7.805436420440673828e+01,4.022475152040760449e+00,0.000000000000000000e+00,1.844999999999999929e+01,1.660999999999999943e+01
8.105621838569641113e+01,4.022475152040760449e+00,0.000000000000000000e+00,1.855000000000000071e+01,1.660999999999999943e+01
8.405809378623962402e+01,4.022475152040760449e+00,0.000000000000000000e+00,1.857999999999999829e+01,1.664000000000000057e+01
8.705923962593078613e+01,4.022475152040760449e+00,0.000000000000000000e+00,1.867000000000000171e+01,1.648000000000000043e+01
9.006115674972534180e+01,4.022475152040760449e+00,0.000000000000000000e+00,1.871000000000000085e+01,1.667999999999999972e+01
9.305935144424438477e+01,4.022475152040760449e+00,0.000000000000000000e+00,1.855000000000000071e+01,1.657999999999999829e+01
9.605882906913757324e+01,4.022475152040760449e+00,0.000000000000000000e+00,1.876999999999999957e+01,1.657999999999999829e+01
9.906068468093872070e+01,4.022475152040760449e+00,0.000000000000000000e+00,1.864000000000000057e+01,1.657999999999999829e+01
1.020625469684600830e+02,4.022475152040760449e+00,0.000000000000000000e+00,1.860999999999999943e+01,1.648000000000000043e+01
1.050644021034240723e+02,4.022475152040760449e+00,0.000000000000000000e+00,1.876999999999999957e+01,1.680999999999999872e+01
1.080655891895294189e+02,4.022475152040760449e+00,0.000000000000000000e+00,1.887000000000000099e+01,1.648000000000000043e+01
1.110681335926055908e+02,4.022475152040760449e+00,0.000000000000000000e+00,1.896000000000000085e+01,1.660999999999999943e+01
1.140700020790100098e+02,4.022475152040760449e+00,0.000000000000000000e+00,1.876999999999999957e+01,1.667999999999999972e+01
1.170718493461608887e+02,4.022475152040760449e+00,0.000000000000000000e+00,1.883999999999999986e+01,1.657999999999999829e+01
1.200750195980072021e+02,3.587783303625805331e+01,0.000000000000000000e+00,1.887000000000000099e+01,1.676999999999999957e+01
1.230760972499847412e+02,3.587783303625805331e+01,0.000000000000000000e+00,1.889999999999999858e+01,1.667999999999999972e+01
1.260748386383056641e+02,3.587783303625805331e+01,0.000000000000000000e+00,1.887000000000000099e+01,1.680999999999999872e+01
1.290768611431121826e+02,3.587783303625805331e+01,0.000000000000000000e+00,1.908999999999999986e+01,1.664000000000000057e+01
1.320785810947418213e+02,3.587783303625805331e+01,0.000000000000000000e+00,1.919000000000000128e+01,1.664000000000000057e+01
1.350804395675659180e+02,3.587783303625805331e+01,0.000000000000000000e+00,1.937999999999999901e+01,1.655000000000000071e+01
1.380835018157958984e+02,3.587783303625805331e+01,0.000000000000000000e+00,1.957999999999999829e+01,1.657999999999999829e+01
1.410852239131927490e+02,3.587783303625805331e+01,0.000000000000000000e+00,1.967000000000000171e+01,1.657999999999999829e+01
1.440870959758758545e+02,3.587783303625805331e+01,0.000000000000000000e+00,1.992999999999999972e+01,1.671000000000000085e+01
1.470889489650726318e+02,3.587783303625805331e+01,0.000000000000000000e+00,2.000000000000000000e+01,1.680999999999999872e+01
1.500908212661743164e+02,3.587783303625805331e+01,8.041229138886187400e+01,2.021999999999999886e+01,1.667999999999999972e+01
1.530919897556304932e+02,3.587783303625805331e+01,8.041229138886187400e+01,2.042000000000000171e+01,1.700000000000000000e+01
1.560938391685485840e+02,3.587783303625805331e+01,8.041229138886187400e+01,2.073999999999999844e+01,1.710000000000000142e+01
1.591115634441375732e+02,3.587783303625805331e+01,8.041229138886187400e+01,2.100000000000000000e+01,1.705999999999999872e+01
1.621132004261016846e+02,3.587783303625805331e+01,8.041229138886187400e+01,2.121999999999999886e+01,1.739000000000000057e+01
1.651150798797607422e+02,3.587783303625805331e+01,8.041229138886187400e+01,2.173999999999999844e+01,1.773999999999999844e+01
1.681096925735473633e+02,3.587783303625805331e+01,8.041229138886187400e+01,2.148000000000000043e+01,1.712999999999999901e+01
1.711006906032562256e+02,3.587783303625805331e+01,8.041229138886187400e+01,2.164000000000000057e+01,1.732000000000000028e+01
1.740915946960449219e+02,3.587783303625805331e+01,8.041229138886187400e+01,2.173999999999999844e+01,1.739000000000000057e+01
1.770892434120178223e+02,3.587783303625805331e+01,8.041229138886187400e+01,2.203000000000000114e+01,1.764000000000000057e+01
1.800917632579803467e+02,1.353334438422061403e+01,8.041229138886187400e+01,2.225000000000000000e+01,1.837999999999999901e+01
1.830960950851440430e+02,1.353334438422061403e+01,8.041229138886187400e+01,2.241000000000000014e+01,1.835000000000000142e+01
1.860936970710754395e+02,1.353334438422061403e+01,8.041229138886187400e+01,2.248000000000000043e+01,1.896000000000000085e+01
1.890960447788238525e+02,1.353334438422061403e+01,8.041229138886187400e+01,2.273999999999999844e+01,1.925000000000000000e+01
1.921131227016448975e+02,1.353334438422061403e+01,8.041229138886187400e+01,2.292999999999999972e+01,1.948000000000000043e+01
1.951146135330200195e+02,1.353334438422061403e+01,8.041229138886187400e+01,2.285999999999999943e+01,1.928999999999999915e+01
1.981164796352386475e+02,1.353334438422061403e+01,8.041229138886187400e+01,2.273999999999999844e+01,2.005999999999999872e+01
2.011350603103637695e+02,1.353334438422061403e+01,8.041229138886187400e+01,2.298999999999999844e+01,2.008999999999999986e+01
2.041366720199584961e+02,1.353334438422061403e+01,8.041229138886187400e+01,2.335000000000000142e+01,2.042000000000000171e+01
2.071363487243652344e+02,1.353334438422061403e+01,8.041229138886187400e+01,2.305999999999999872e+01,2.060999999999999943e+01
2.101399886608123779e+02,1.353334438422061403e+01,4.453072980130188085e+01,2.380000000000000071e+01,2.157999999999999829e+01
2.131377789974212646e+02,1.353334438422061403e+01,4.453072980130188085e+01,2.376999999999999957e+01,2.182999999999999829e+01
2.161365799903869629e+02,1.353334438422061403e+01,4.453072980130188085e+01,2.364000000000000057e+01,2.212000000000000099e+01
2.191384766101837158e+02,1.353334438422061403e+01,4.453072980130188085e+01,2.376999999999999957e+01,2.221999999999999886e+01
2.221411864757537842e+02,1.353334438422061403e+01,4.453072980130188085e+01,2.357000000000000028e+01,2.253999999999999915e+01
2.251591613292694092e+02,1.353334438422061403e+01,4.453072980130188085e+01,2.382999999999999829e+01,2.228000000000000114e+01
2.281616358757019043e+02,1.353334438422061403e+01,4.453072980130188085e+01,2.398999999999999844e+01,2.282999999999999829e+01
