Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.082999999999999829e+01,1.992999999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.001284599304199219e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.080000000000000071e+01,1.996000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.001270294189453125e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.082999999999999829e+01,1.982999999999999829e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.001899003982543945e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.082999999999999829e+01,1.982999999999999829e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.002528667449951172e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.080000000000000071e+01,1.987000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.003808736801147461e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.082999999999999829e+01,1.989999999999999858e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.004442930221557617e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.082999999999999829e+01,1.992999999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.005060434341430664e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.082999999999999829e+01,1.992999999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.005034923553466797e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.082999999999999829e+01,1.980000000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.005645275115966797e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.082999999999999829e+01,1.989999999999999858e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.000628781318664551e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.087000000000000099e+01,1.982999999999999829e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.100691795349121094e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.087000000000000099e+01,1.976999999999999957e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.200821566581726074e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.087000000000000099e+01,1.996000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.300881648063659668e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.082999999999999829e+01,1.980000000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.400714635848999023e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.096000000000000085e+01,1.982999999999999829e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.500710415840148926e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.089999999999999858e+01,1.980000000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.600787353515625000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.103000000000000114e+01,1.982999999999999829e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.700856852531433105e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.105999999999999872e+01,1.980000000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.800913953781127930e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.119000000000000128e+01,1.980000000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.900911021232604980e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.128999999999999915e+01,1.992999999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.001114583015441895e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.135000000000000142e+01,1.976999999999999957e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.101111865043640137e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.164000000000000057e+01,1.989999999999999858e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.201174640655517578e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.169999999999999929e+01,1.980000000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.301237797737121582e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.180000000000000071e+01,1.980000000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.400635838508605957e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.203000000000000114e+01,1.980000000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.499714183807373047e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.225000000000000000e+01,1.989999999999999858e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.599818325042724609e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.248000000000000043e+01,2.000000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
